,Batch,Learning Rate,Threshold,Training Accuracy,Accuracy,Precision,F1,Recall
0,Batch,0.01,0.5,0.90981432,0.92473118,0.93877551,0.95172414,0.96503497
1,Batch,0.01,0.3,0.91511936,0.90322581,0.95620438,0.93571429,0.91608392
2,Batch,0.01,0.4,0.91246684,0.8655914,0.9609375,0.90774908,0.86013986
3,Batch,0.01,0.6,0.91246684,0.93548387,0.95172414,0.95833333,0.96503497
4,Batch,0.01,0.7,0.91246684,0.88709677,0.95522388,0.92418773,0.8951049
5,Batch,0.001,0.5,0.91511936,0.90322581,0.95620438,0.93571429,0.91608392
6,Batch,0.001,0.3,0.91511936,0.90860215,0.95652174,0.93950178,0.92307692
7,Batch,0.001,0.4,0.91777188,0.90860215,0.95652174,0.93950178,0.92307692
8,Batch,0.001,0.6,0.9204244,0.91935484,0.95714286,0.94699647,0.93706294
9,Batch,0.001,0.7,0.9204244,0.92473118,0.95744681,0.95070423,0.94405594
10,Batch,0.0001,0.5,0.9204244,0.92473118,0.95744681,0.95070423,0.94405594
11,Batch,0.0001,0.3,0.9204244,0.92473118,0.95744681,0.95070423,0.94405594
12,Batch,0.0001,0.4,0.92307692,0.92473118,0.95744681,0.95070423,0.94405594
13,Batch,0.0001,0.6,0.9204244,0.92473118,0.95744681,0.95070423,0.94405594
14,Batch,0.0001,0.7,0.9204244,0.92473118,0.95744681,0.95070423,0.94405594
