Batch,Learning Rate,Threshold,Training Accuracy,Accuracy,Precision,F1,Recall
Mini-Batch,0.01,0.5,82.493369%,68.817204%,98.850575%,74.782609%,60.139860%
Mini-Batch,0.01,0.3,84.615385%,73.655914%,97.959184%,79.668050%,67.132867%
Mini-Batch,0.01,0.4,84.615385%,72.580645%,97.916667%,78.661088%,65.734266%
Mini-Batch,0.01,0.6,86.206897%,76.344086%,97.142857%,82.258065%,71.328671%
Mini-Batch,0.01,0.7,86.472149%,75.268817%,97.087379%,81.300813%,69.930070%
Mini-Batch,0.001,0.5,90.981432%,88.172043%,96.183206%,91.970803%,88.111888%
Mini-Batch,0.001,0.3,90.981432%,88.172043%,96.183206%,91.970803%,88.111888%
Mini-Batch,0.001,0.4,91.246684%,88.709677%,96.212121%,92.363636%,88.811189%
Mini-Batch,0.001,0.6,92.042440%,88.172043%,95.488722%,92.028986%,88.811189%
Mini-Batch,0.001,0.7,92.042440%,88.172043%,95.488722%,92.028986%,88.811189%
Mini-Batch,0.0001,0.5,92.042440%,88.172043%,96.183206%,91.970803%,88.111888%
Mini-Batch,0.0001,0.3,92.042440%,88.172043%,96.183206%,91.970803%,88.111888%
Mini-Batch,0.0001,0.4,92.042440%,88.172043%,96.183206%,91.970803%,88.111888%
Mini-Batch,0.0001,0.6,92.042440%,88.172043%,96.183206%,91.970803%,88.111888%
Mini-Batch,0.0001,0.7,92.042440%,88.172043%,96.183206%,91.970803%,88.111888%
