Batch Type,Learning Rate,Threshold,Training Accuracy,Accuracy,Precision,F1,Recall
Batch,0.01,0.5,54.376658%,54.462366%,,,53.164326%
Batch,0.01,0.3,54.880637%,54.677419%,74.254332%,44.122164%,56.782710%
Batch,0.01,0.4,80.981432%,79.623656%,82.458753%,77.540712%,80.186759%
Batch,0.01,0.6,88.567639%,87.741935%,85.509975%,87.015714%,89.391496%
Batch,0.01,0.7,87.665782%,87.096774%,85.224137%,86.313099%,89.063055%
Batch,0.001,0.5,89.575597%,89.139785%,87.216880%,88.200273%,89.315608%
Batch,0.001,0.3,89.549072%,89.139785%,87.229142%,88.217296%,89.349931%
Batch,0.001,0.4,89.787798%,89.139785%,87.229142%,88.217296%,89.349931%
Batch,0.001,0.6,89.734748%,89.193548%,87.244919%,88.285543%,89.478136%
Batch,0.001,0.7,89.734748%,89.193548%,87.334931%,88.273197%,89.349931%
Batch,0.0001,0.5,89.655172%,89.193548%,87.334931%,88.273197%,89.349931%
Batch,0.0001,0.3,89.628647%,89.193548%,87.334931%,88.273197%,89.349931%
Batch,0.0001,0.4,89.602122%,89.193548%,87.334931%,88.273197%,89.349931%
Batch,0.0001,0.6,89.681698%,89.193548%,87.334931%,88.273197%,89.349931%
Batch,0.0001,0.7,89.681698%,89.193548%,87.334931%,88.273197%,89.349931%
Mini-Batch,0.01,0.5,53.183024%,54.677419%,,,58.256769%
Mini-Batch,0.01,0.3,59.363395%,58.548387%,,,49.105971%
Mini-Batch,0.01,0.4,75.862069%,74.569892%,,,64.182193%
Mini-Batch,0.01,0.6,85.623342%,84.408602%,83.520651%,84.059711%,87.432100%
Mini-Batch,0.01,0.7,84.244032%,83.333333%,82.431622%,83.657400%,88.519953%
Mini-Batch,0.001,0.5,90.291777%,90.053763%,88.586106%,89.291315%,90.115267%
Mini-Batch,0.001,0.3,90.344828%,89.946237%,88.302834%,89.147466%,90.115267%
Mini-Batch,0.001,0.4,90.318302%,90.053763%,88.586106%,89.291315%,90.115267%
Mini-Batch,0.001,0.6,90.371353%,90.000000%,88.407772%,89.202994%,90.115267%
Mini-Batch,0.001,0.7,90.397878%,90.107527%,88.691045%,89.346843%,90.115267%
Mini-Batch,0.0001,0.5,90.450928%,90.161290%,88.802156%,89.404164%,90.115267%
Mini-Batch,0.0001,0.3,90.424403%,90.161290%,88.802156%,89.404164%,90.115267%
Mini-Batch,0.0001,0.4,90.503979%,90.215054%,88.813578%,89.458737%,90.214276%
Mini-Batch,0.0001,0.6,90.450928%,90.215054%,88.909751%,89.460409%,90.115267%
Mini-Batch,0.0001,0.7,90.477454%,90.215054%,88.909751%,89.460409%,90.115267%
Stochastic,0.01,0.5,83.819629%,82.956989%,86.059904%,82.036438%,82.681899%
Stochastic,0.01,0.3,84.562334%,83.763441%,83.152434%,83.757389%,88.560067%
Stochastic,0.01,0.4,86.233422%,85.161290%,84.939365%,84.695109%,87.694739%
Stochastic,0.01,0.6,87.082228%,85.430108%,86.112964%,85.103543%,87.333717%
Stochastic,0.01,0.7,88.381963%,86.827957%,86.450126%,86.442314%,88.791391%
Stochastic,0.001,0.5,91.140584%,90.591398%,89.444443%,89.973399%,90.724649%
Stochastic,0.001,0.3,90.928382%,90.430108%,89.213008%,89.769339%,90.569712%
Stochastic,0.001,0.4,91.087533%,90.645161%,89.788611%,90.007348%,90.405564%
Stochastic,0.001,0.6,91.273210%,90.591398%,90.183779%,89.845608%,89.694275%
Stochastic,0.001,0.7,91.352785%,90.860215%,90.432698%,90.148551%,90.056610%
Stochastic,0.0001,0.5,91.909814%,91.344086%,90.819672%,90.706287%,90.643474%
Stochastic,0.0001,0.3,91.909814%,91.344086%,90.810567%,90.705072%,90.643474%
Stochastic,0.0001,0.4,91.909814%,91.344086%,90.857814%,90.725272%,90.643474%
Stochastic,0.0001,0.6,91.856764%,91.344086%,90.772426%,90.686086%,90.643474%
Stochastic,0.0001,0.7,91.936340%,91.344086%,90.857814%,90.725272%,90.643474%
